"country","indicator","measure","Unit","Date","Value"
"Australia","Networked Readiness Index","Value","Score, 1-7 best","2016",5.5
"Australia","Environment subindex","Value","Score, 1-7 best","2016",5.2
"Australia","Political and regulatory environment","Value","Score, 1-7 best","2016",5.4
"Australia","Effectiveness of law-making bodies, 1-7 (best)","Value","Score, 1-7 best","2016",4.8
"Australia","Laws relating to ICTs, 1-7 (best)","Value","Score, 1-7 best","2016",4.8
"Australia","Judicial independence, 1-7 (best)","Value","Score, 1-7 best","2016",6.2
"Australia","Efficiency of legal system in settling disputes, 1-7 (best)","Value","Score, 1-7 best","2016",4.9
"Australia","Efficiency of legal system in challenging regs, 1-7 (best)","Value","Score, 1-7 best","2016",4.7
"Australia","Intellectual property protection, 1-7 (best)","Value","Score, 1-7 best","2016",5.8
"Australia","Software piracy rate, % software installed","Value","%","2016",21
"Australia","No. procedures to enforce a contract","Value","Number","2016",28
"Australia","No. days to enforce a contract","Value","days","2016",395
"Australia","Business and innovation environment","Value","Score, 1-7 best","2016",5.1
"Australia","Availability of latest technologies, 1-7 (best)","Value","Score, 1-7 best","2016",5.9
"Australia","Venture capital availability, 1-7 (best)","Value","Score, 1-7 best","2016",3.1
"Australia","Total tax rate, % profits","Value","%","2016",47.6
"Australia","No. days to start a business","Value","days","2016",3
"Australia","No. procedures to start a business","Value","Number","2016",3
"Australia","Intensity of local competition, 1-7 (best)","Value","Score, 1-7 best","2016",5.9
"Australia","Tertiary education gross enrollment rate, %","Value","%","2016",86.6
"Australia","Quality of management schools, 1-7 (best)","Value","Score, 1-7 best","2016",5.3
"Australia","Gov’t procurement of advanced tech, 1-7 (best)","Value","Score, 1-7 best","2016",3.3
"Australia","Readiness subindex","Value","Score, 1-7 best","2016",6.2
"Australia","Infrastructure","Value","Score, 1-7 best","2016",7
"Australia","Electricity production, kWh/capita","Value","KWh/Capita","2016",10765.5
"Australia","Mobile network coverage, % pop.","Value","%","2016",99
"Australia","Int’l Internet bandwidth, kb/s per user","Value","kb/s per user","2016",75.1
"Australia","Secure Internet servers/million pop.","Value","million pop","2016",1348.6
"Australia","Affordability","Value","Score, 1-7 best","2016",5.6
"Australia","Prepaid mobile cellular tariffs, PPP $/min.","Value","$/min.","2016",0.1
"Australia","Fixed broadband Internet tariffs, PPP $/month","Value","$/month","2016",46.7
"Australia","Internet & telephony competition, 0–2 (best)","Value","Score, 0-2 best","2016",2
"Australia","Skills","Value","Score, 1-7 best","2016",6
"Australia","Quality of educational system, 1-7 (best)","Value","Score, 1-7 best","2016",5.1
"Australia","Quality of math & science education, 1-7 (best)","Value","Score, 1-7 best","2016",4.8
"Australia","Secondary education gross enrollment rate, %","Value","%","2016",137.6
"Australia","Usage subindex","Value","Score, 1-7 best","2016",5.4
"Australia","Individual usage","Value","Score, 1-7 best","2016",6.3
"Australia","Mobile phone subscriptions/100 pop.","Value","100 pop.","2016",131.2
"Australia","Individuals using Internet, %","Value","%","2016",84.6
"Australia","Households w/ personal computer, %","Value","%","2016",85.6
"Australia","Households w/ Internet access, %","Value","%","2016",86.9
"Australia","Fixed broadband Internet subs/100 pop.","Value","100 pop.","2016",27.7
"Australia","Mobile broadband subs/100 pop.","Value","100 pop.","2016",112.2
"Australia","Use of virtual social networks, 1-7 (best)","Value","Score, 1-7 best","2016",6
"Australia","Business usage","Value","Score, 1-7 best","2016",4.8
"Australia","Firm-level technology absorption, 1-7 (best)","Value","Score, 1-7 best","2016",5.6
"Australia","Capacity for innovation, 1-7 (best)","Value","Score, 1-7 best","2016",4.8
"Australia","PCT patents, applications/million pop.","Value","million pop","2016",76.4
"Australia","Business-to-business Internet use, 1-7 (best)","Value","Score, 1-7 best","2016",5.5
"Australia","Business-to-consumer Internet use, 1-7 (best)","Value","Score, 1-7 best","2016",5.5
"Australia","Extent of staff training, 1-7 (best)","Value","Score, 1-7 best","2016",4.7
"Australia","Government usage","Value","Score, 1-7 best","2016",5
"Australia","Importance of ICTs to gov’t vision, 1-7 (best)","Value","Score, 0-1 best","2016",4.3
"Australia","Government Online Service Index, 0–1 (best)","Value","Score, 1-7 best","2016",0.93
"Australia","Gov’t success in ICT promotion, 1-7 (best)","Value","Score, 1-7 best","2016",4.2
"Australia","Impact subindex","Value","Score, 1-7 best","2016",5.2
"Australia","Economic impacts","Value","Score, 1-7 best","2016",4.7
"Australia","Impact of ICTs on new services & products, 1-7 (best)","Value","Score, 1-7 best","2016",4.9
"Australia","ICT PCT patents, applications/million pop.","Value","million pop","2016",24
"Australia","Impact of ICTs on new organizational models, 1-7 (best)","Value","Score, 1-7 best","2016",5
"Australia","Knowledge-intensive jobs, % workforce","Value","%","2016",44.9
"Australia","Social impacts","Value","Score, 1-7 best","2016",5.7
"Australia","Impact of ICTs on access to basic services, 1-7 (best)","Value","Score, 1-7 best","2016",5.4
"Australia","Internet access in schools, 1-7 (best)","Value","Score, 1-7 best","2016",6.1
"Australia","ICT use & gov’t efficiency, 1-7 (best)","Value","Score, 1-7 best","2016",4.5
"Australia","E-Participation Index, 0–1 (best)","Value","Score, 0-1 best","2016",0.94
"Austria","Networked Readiness Index","Value","Score, 1-7 best","2016",5.4
"Austria","Environment subindex","Value","Score, 1-7 best","2016",5
"Austria","Political and regulatory environment","Value","Score, 1-7 best","2016",5.2
"Austria","Effectiveness of law-making bodies, 1-7 (best)","Value","Score, 1-7 best","2016",4.2
"Austria","Laws relating to ICTs, 1-7 (best)","Value","Score, 1-7 best","2016",5.1
"Austria","Judicial independence, 1-7 (best)","Value","Score, 1-7 best","2016",5.2
"Austria","Efficiency of legal system in settling disputes, 1-7 (best)","Value","Score, 1-7 best","2016",5
"Austria","Efficiency of legal system in challenging regs, 1-7 (best)","Value","Score, 1-7 best","2016",4.7
"Austria","Intellectual property protection, 1-7 (best)","Value","Score, 1-7 best","2016",5.7
"Austria","Software piracy rate, % software installed","Value","%","2016",22
"Austria","No. procedures to enforce a contract","Value","Number","2016",25
"Austria","No. days to enforce a contract","Value","days","2016",397
"Austria","Business and innovation environment","Value","Score, 1-7 best","2016",4.7
"Austria","Availability of latest technologies, 1-7 (best)","Value","Score, 1-7 best","2016",6.1
"Austria","Venture capital availability, 1-7 (best)","Value","Score, 1-7 best","2016",2.9
"Austria","Total tax rate, % profits","Value","%","2016",51.7
"Austria","No. days to start a business","Value","days","2016",22
"Austria","No. procedures to start a business","Value","Number","2016",8
"Austria","Intensity of local competition, 1-7 (best)","Value","Score, 1-7 best","2016",5.7
"Austria","Tertiary education gross enrollment rate, %","Value","%","2016",80
"Austria","Quality of management schools, 1-7 (best)","Value","Score, 1-7 best","2016",4.9
"Austria","Gov’t procurement of advanced tech, 1-7 (best)","Value","Score, 1-7 best","2016",3.4
"Austria","Readiness subindex","Value","Score, 1-7 best","2016",6.3
"Austria","Infrastructure","Value","Score, 1-7 best","2016",6.6
"Austria","Electricity production, kWh/capita","Value","KWh/Capita","2016",7611.3
"Austria","Mobile network coverage, % pop.","Value","%","2016",99
"Austria","Int’l Internet bandwidth, kb/s per user","Value","kb/s per user","2016",79.6
"Austria","Secure Internet servers/million pop.","Value","million pop","2016",1267.7
"Austria","Affordability","Value","Score, 1-7 best","2016",6.7
"Austria","Prepaid mobile cellular tariffs, PPP $/min.","Value","$/min.","2016",0.08
"Austria","Fixed broadband Internet tariffs, PPP $/month","Value","$/month","2016",22.93
"Austria","Internet & telephony competition, 0–2 (best)","Value","Score, 0-2 best","2016",2
"Austria","Skills","Value","Score, 1-7 best","2016",5.7
"Austria","Quality of educational system, 1-7 (best)","Value","Score, 1-7 best","2016",4.3
"Austria","Quality of math & science education, 1-7 (best)","Value","Score, 1-7 best","2016",4.6
"Austria","Secondary education gross enrollment rate, %","Value","%","2016",99.3
"Austria","Usage subindex","Value","Score, 1-7 best","2016",5.4
"Austria","Individual usage","Value","Score, 1-7 best","2016",5.9
"Austria","Mobile phone subscriptions/100 pop.","Value","100 pop.","2016",151.9
"Austria","Individuals using Internet, %","Value","%","2016",81
"Austria","Households w/ personal computer, %","Value","%","2016",83.7
"Austria","Households w/ Internet access, %","Value","%","2016",81
"Austria","Fixed broadband Internet subs/100 pop.","Value","100 pop.","2016",27.7
"Austria","Mobile broadband subs/100 pop.","Value","100 pop.","2016",67.2
"Austria","Use of virtual social networks, 1-7 (best)","Value","Score, 1-7 best","2016",5.8
"Austria","Business usage","Value","Score, 1-7 best","2016",5.6
"Austria","Firm-level technology absorption, 1-7 (best)","Value","Score, 1-7 best","2016",5.7
"Austria","Capacity for innovation, 1-7 (best)","Value","Score, 1-7 best","2016",5.4
"Austria","PCT patents, applications/million pop.","Value","million pop","2016",169
"Austria","Business-to-business Internet use, 1-7 (best)","Value","Score, 1-7 best","2016",5.7
"Austria","Business-to-consumer Internet use, 1-7 (best)","Value","Score, 1-7 best","2016",5.4
"Austria","Extent of staff training, 1-7 (best)","Value","Score, 1-7 best","2016",5.1
"Austria","Government usage","Value","Score, 1-7 best","2016",4.8
"Austria","Importance of ICTs to gov’t vision, 1-7 (best)","Value","Score, 0-1 best","2016",4.4
"Austria","Government Online Service Index, 0–1 (best)","Value","Score, 1-7 best","2016",0.75
"Austria","Gov’t success in ICT promotion, 1-7 (best)","Value","Score, 1-7 best","2016",4.6
"Austria","Impact subindex","Value","Score, 1-7 best","2016",5
"Austria","Economic impacts","Value","Score, 1-7 best","2016",4.9
"Austria","Impact of ICTs on new services & products, 1-7 (best)","Value","Score, 1-7 best","2016",5.3
"Austria","ICT PCT patents, applications/million pop.","Value","million pop","2016",37.3
"Austria","Impact of ICTs on new organizational models, 1-7 (best)","Value","Score, 1-7 best","2016",4.7
"Austria","Knowledge-intensive jobs, % workforce","Value","%","2016",40.4
"Austria","Social impacts","Value","Score, 1-7 best","2016",5.2
"Austria","Impact of ICTs on access to basic services, 1-7 (best)","Value","Score, 1-7 best","2016",5.9
"Austria","Internet access in schools, 1-7 (best)","Value","Score, 1-7 best","2016",5.3
"Austria","ICT use & gov’t efficiency, 1-7 (best)","Value","Score, 1-7 best","2016",4.8
"Austria","E-Participation Index, 0–1 (best)","Value","Score, 0-1 best","2016",0.63
"Belgium","Networked Readiness Index","Value","Score, 1-7 best","2016",5.4
"Belgium","Environment subindex","Value","Score, 1-7 best","2016",5.1
"Belgium","Political and regulatory environment","Value","Score, 1-7 best","2016",5.2
"Belgium","Effectiveness of law-making bodies, 1-7 (best)","Value","Score, 1-7 best","2016",4.3
"Belgium","Laws relating to ICTs, 1-7 (best)","Value","Score, 1-7 best","2016",4.6
"Belgium","Judicial independence, 1-7 (best)","Value","Score, 1-7 best","2016",5.8
"Belgium","Efficiency of legal system in settling disputes, 1-7 (best)","Value","Score, 1-7 best","2016",4.5
"Belgium","Efficiency of legal system in challenging regs, 1-7 (best)","Value","Score, 1-7 best","2016",4.7
"Belgium","Intellectual property protection, 1-7 (best)","Value","Score, 1-7 best","2016",5.7
"Belgium","Software piracy rate, % software installed","Value","%","2016",24
"Belgium","No. procedures to enforce a contract","Value","Number","2016",26
"Belgium","No. days to enforce a contract","Value","days","2016",505
"Belgium","Business and innovation environment","Value","Score, 1-7 best","2016",5.1
"Belgium","Availability of latest technologies, 1-7 (best)","Value","Score, 1-7 best","2016",6.2
"Belgium","Venture capital availability, 1-7 (best)","Value","Score, 1-7 best","2016",3.5
"Belgium","Total tax rate, % profits","Value","%","2016",58.4
"Belgium","No. days to start a business","Value","days","2016",4
"Belgium","No. procedures to start a business","Value","Number","2016",3
"Belgium","Intensity of local competition, 1-7 (best)","Value","Score, 1-7 best","2016",6
"Belgium","Tertiary education gross enrollment rate, %","Value","%","2016",72.3
"Belgium","Quality of management schools, 1-7 (best)","Value","Score, 1-7 best","2016",6
"Belgium","Gov’t procurement of advanced tech, 1-7 (best)","Value","Score, 1-7 best","2016",3.5
"Belgium","Readiness subindex","Value","Score, 1-7 best","2016",6.1
"Belgium","Infrastructure","Value","Score, 1-7 best","2016",6.4
"Belgium","Electricity production, kWh/capita","Value","KWh/Capita","2016",7342.8
"Belgium","Mobile network coverage, % pop.","Value","%","2016",99.9
"Belgium","Int’l Internet bandwidth, kb/s per user","Value","kb/s per user","2016",263.9
"Belgium","Secure Internet servers/million pop.","Value","million pop","2016",854.2
"Belgium","Affordability","Value","Score, 1-7 best","2016",5.5
"Belgium","Prepaid mobile cellular tariffs, PPP $/min.","Value","$/min.","2016",0.32
"Belgium","Fixed broadband Internet tariffs, PPP $/month","Value","$/month","2016",30.41
"Belgium","Internet & telephony competition, 0–2 (best)","Value","Score, 0-2 best","2016",2
"Belgium","Skills","Value","Score, 1-7 best","2016",6.4
"Belgium","Quality of educational system, 1-7 (best)","Value","Score, 1-7 best","2016",5.5
"Belgium","Quality of math & science education, 1-7 (best)","Value","Score, 1-7 best","2016",6
"Belgium","Secondary education gross enrollment rate, %","Value","%","2016",163.1
"Belgium","Usage subindex","Value","Score, 1-7 best","2016",5.2
"Belgium","Individual usage","Value","Score, 1-7 best","2016",6
"Belgium","Mobile phone subscriptions/100 pop.","Value","100 pop.","2016",114.3
"Belgium","Individuals using Internet, %","Value","%","2016",85
"Belgium","Households w/ personal computer, %","Value","%","2016",83.8
"Belgium","Households w/ Internet access, %","Value","%","2016",82.8
"Belgium","Fixed broadband Internet subs/100 pop.","Value","100 pop.","2016",36
"Belgium","Mobile broadband subs/100 pop.","Value","100 pop.","2016",57.8
"Belgium","Use of virtual social networks, 1-7 (best)","Value","Score, 1-7 best","2016",6.1
"Belgium","Business usage","Value","Score, 1-7 best","2016",5.2
"Belgium","Firm-level technology absorption, 1-7 (best)","Value","Score, 1-7 best","2016",5.6
"Belgium","Capacity for innovation, 1-7 (best)","Value","Score, 1-7 best","2016",5.3
"Belgium","PCT patents, applications/million pop.","Value","million pop","2016",107
"Belgium","Business-to-business Internet use, 1-7 (best)","Value","Score, 1-7 best","2016",5.7
"Belgium","Business-to-consumer Internet use, 1-7 (best)","Value","Score, 1-7 best","2016",5.3
"Belgium","Extent of staff training, 1-7 (best)","Value","Score, 1-7 best","2016",5.2
"Belgium","Government usage","Value","Score, 1-7 best","2016",4.6
"Belgium","Importance of ICTs to gov’t vision, 1-7 (best)","Value","Score, 0-1 best","2016",4.3
"Belgium","Government Online Service Index, 0–1 (best)","Value","Score, 1-7 best","2016",0.68
"Belgium","Gov’t success in ICT promotion, 1-7 (best)","Value","Score, 1-7 best","2016",4.4
"Belgium","Impact subindex","Value","Score, 1-7 best","2016",5
"Belgium","Economic impacts","Value","Score, 1-7 best","2016",4.9
"Belgium","Impact of ICTs on new services & products, 1-7 (best)","Value","Score, 1-7 best","2016",5.4
"Belgium","ICT PCT patents, applications/million pop.","Value","million pop","2016",28.3
"Belgium","Impact of ICTs on new organizational models, 1-7 (best)","Value","Score, 1-7 best","2016",5.1
"Belgium","Knowledge-intensive jobs, % workforce","Value","%","2016",46.2
"Belgium","Social impacts","Value","Score, 1-7 best","2016",5.1
"Belgium","Impact of ICTs on access to basic services, 1-7 (best)","Value","Score, 1-7 best","2016",5.7
"Belgium","Internet access in schools, 1-7 (best)","Value","Score, 1-7 best","2016",5.6
"Belgium","ICT use & gov’t efficiency, 1-7 (best)","Value","Score, 1-7 best","2016",4.4
"Belgium","E-Participation Index, 0–1 (best)","Value","Score, 0-1 best","2016",0.63
"Canada","Networked Readiness Index","Value","Score, 1-7 best","2016",5.6
"Canada","Environment subindex","Value","Score, 1-7 best","2016",5.4
"Canada","Political and regulatory environment","Value","Score, 1-7 best","2016",5.4
"Canada","Effectiveness of law-making bodies, 1-7 (best)","Value","Score, 1-7 best","2016",5.3
"Canada","Laws relating to ICTs, 1-7 (best)","Value","Score, 1-7 best","2016",5.1
"Canada","Judicial independence, 1-7 (best)","Value","Score, 1-7 best","2016",6.2
"Canada","Efficiency of legal system in settling disputes, 1-7 (best)","Value","Score, 1-7 best","2016",5.2
"Canada","Efficiency of legal system in challenging regs, 1-7 (best)","Value","Score, 1-7 best","2016",5
"Canada","Intellectual property protection, 1-7 (best)","Value","Score, 1-7 best","2016",5.8
"Canada","Software piracy rate, % software installed","Value","%","2016",25
"Canada","No. procedures to enforce a contract","Value","Number","2016",36
"Canada","No. days to enforce a contract","Value","days","2016",570
"Canada","Business and innovation environment","Value","Score, 1-7 best","2016",5.5
"Canada","Availability of latest technologies, 1-7 (best)","Value","Score, 1-7 best","2016",6.2
"Canada","Venture capital availability, 1-7 (best)","Value","Score, 1-7 best","2016",3.7
"Canada","Total tax rate, % profits","Value","%","2016",21.1
"Canada","No. days to start a business","Value","days","2016",2
"Canada","No. procedures to start a business","Value","Number","2016",2
"Canada","Intensity of local competition, 1-7 (best)","Value","Score, 1-7 best","2016",5.6
"Canada","Quality of management schools, 1-7 (best)","Value","Score, 1-7 best","2016",5.8
"Canada","Gov’t procurement of advanced tech, 1-7 (best)","Value","Score, 1-7 best","2016",3.5
"Canada","Readiness subindex","Value","Score, 1-7 best","2016",6.2
"Canada","Infrastructure","Value","Score, 1-7 best","2016",7
"Canada","Electricity production, kWh/capita","Value","KWh/Capita","2016",18539.2
"Canada","Mobile network coverage, % pop.","Value","%","2016",99
"Canada","Int’l Internet bandwidth, kb/s per user","Value","kb/s per user","2016",129.2
"Canada","Secure Internet servers/million pop.","Value","million pop","2016",1210
"Canada","Affordability","Value","Score, 1-7 best","2016",5.6
"Canada","Prepaid mobile cellular tariffs, PPP $/min.","Value","$/min.","2016",0.23
"Canada","Fixed broadband Internet tariffs, PPP $/month","Value","$/month","2016",37.5
"Canada","Internet & telephony competition, 0–2 (best)","Value","Score, 0-2 best","2016",2
"Canada","Skills","Value","Score, 1-7 best","2016",6.1
